--- The following is a list of skipped games ---
'yuu maze', No returned matches
'clu clu land - welcome to new cluclu land', No returned matches
'cocona world', No returned matches
'moero yakyuuken (unl)', No returned matches
'vs. excitebike', No returned matches
'volleyball', No returned matches
'otocky', No returned matches
'i am a teacher (super mario no sweater)', No returned matches
'clox - famimaga disk vol. 4', No returned matches
'i am a teacher (teami no kiso)', No returned matches
'omoikkiri tanteidan haado gumi - matenrou no chousenjou', No returned matches
'ice climber', No returned matches
'igo (kyuu roban taikyoku)', No returned matches
'xevious', No returned matches
'fairytale', No returned matches
'ice hockey', No returned matches
'falsion', No returned matches
'famicom grand prix - f1 race', No returned matches
'famicom mukashi banashi - shin onigashima', No returned matches
'famicom mukashi banashi - yuu yuu ki', No returned matches
'ishidou', No returned matches
'famicom tantei club (kieta koukeisha)', No returned matches
'famicom tantei club part ii (ushiro ni tatsu shoujo)', No returned matches
'family composer', No returned matches
'family computer - golf japan course', No returned matches
'final commando - akai yousai', No returned matches
'family computer - othello', No returned matches
'family computer - golf u.s. course', No returned matches
'famicom grand prix ii - 3d hot rally', No returned matches
'fire bam', No returned matches
'fire rock', No returned matches
'tanigawa kouji no shougi shinan ii (tsume shougi)', No returned matches
'fuuun shourinken', No returned matches
'tantei jinguuji saburou - kikenna futari', No returned matches
'tantei jinguuji saburou - shinjuku chuuou kouen satsujin jiken', No returned matches
'tarot uranai', No returned matches
'tennis (chr1)', No returned matches
'tennis (chr2)', No returned matches
'tennis (chr3)', No returned matches
'time twist - rekishi no katasume de', No returned matches
'titanic mystery (ao no senritsu)', No returned matches
'fuuun shourinken - ankoku no maou', No returned matches
'topple zip', No returned matches
'transformer - the head masters', No returned matches
'twinbee', No returned matches
'radical bomber!! jirai kun', No returned matches
'reflect world', No returned matches
'replicart', No returned matches
'risa no yousei densetsu - risa tachibana', No returned matches
'roger rabbit', No returned matches
'eggerland - souzou heno tabidachi', No returned matches
'tobidase daisakusen', No returned matches
'eggerland', No returned matches
'electrician', No returned matches
'esper dream', No returned matches
'exciting baseball', No returned matches
'relics - ankoku yousai', No returned matches
'exciting billiard', No returned matches
'exciting soccer - konami cup', No returned matches
'19 (neunzehn)', No returned matches
'exciting basket', No returned matches
'ultraman - kaijuu teikoku no gyakushuu', No returned matches
'ultraman 2 - shutsugeki katoku tai', No returned matches
'ultraman club (chikyuu dakkan sakusen)', No returned matches
'galaxian', No returned matches
'game tengoku', No returned matches
'gall force - eternal story', No returned matches
'ginga denshou - galaxy odyssey', No returned matches
'golf', No returned matches
'golf japan course - nyuushou', No returned matches
'galaga', No returned matches
'goonies, the', No returned matches
'green beret (alt)', No returned matches
'green beret', No returned matches
'gyruss', No returned matches
'nakayama miho no tokimeki high school(2)', No returned matches
'nakayama miho no tokimeki high school', No returned matches
'gun.smoke', No returned matches
'nazo no kabe - block kuzushi', No returned matches
'nankin no adobenchia', No returned matches
'nazo no magazine disk - nazoraa land dai 2 gou', No returned matches
'nazo no magazine disk - nazoraa land dai 3 gou', No returned matches
'nazo no magazine disk - nazoraa land soukan gou', No returned matches
'nazo no magazine disk - nazoraa land zoukan gou - quiz ou wo sagase!', No returned matches
'nazo no murasamejou', No returned matches
